City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
Sigli,ID,80.94,overcast clouds,5.3848,95.9609,Losmen Dua Mali
Bhinmal,IN,80.6,few clouds,25.0,72.25,Jambheswar Bhavan(Gopi Khilery)
Dingle,PH,85.75,broken clouds,10.9995,122.6711,SEGAYA PROPERTY
Kloulklubed,PW,86.5,few clouds,7.0419,134.2556,Storyboard Beach Resort
Camopi,GF,72.84,few clouds,3.1655,-52.3158,La pousada
Qui Nhon,VN,81.39,overcast clouds,13.7667,109.2333,Seagull Hotel
Sassandra,CI,73.53,light rain,4.95,-6.0833,la terrasse
Mackay,AU,77.68,broken clouds,-21.15,149.2,International Lodge Motel
Xam Nua,LA,71.11,broken clouds,20.4197,104.0439,Xee Wang Guesthouse
Bhikangaon,IN,76.42,overcast clouds,21.8667,75.95,Vaishno Devi Mandir shakuntala niwas
Garowe,SO,75.07,overcast clouds,8.4054,48.4845,Curubo Hotel
Jhanjharpur,IN,75.6,overcast clouds,26.2667,86.2833,Krishna Sweets
Hobyo,SO,76.73,broken clouds,5.3505,48.5268,Halane Hotel and Restaurent
Ewo,CG,72.28,overcast clouds,-0.8725,14.8206,Residence Elonda Ewo
Mamallapuram,IN,77.05,heavy intensity rain,12.6264,80.1722,Radisson Blu Resort Temple Bay Mamallapuram
Baghdad,IQ,75.11,clear sky,33.3406,44.4009,Baghdad Hotel
Manicaragua,CU,75.65,few clouds,22.1494,-79.9736,Hostal Las V
Souillac,MU,71.98,broken clouds,-20.5167,57.5167,Shanti Maurice Resort & Spa
Port-Gentil,GA,77.32,overcast clouds,-0.7193,8.7815,Fengshui Residence
Cap-Haitien,HT,82.83,broken clouds,19.7578,-72.2042,Habitation Jouissant
Tecolutla,MX,77.14,overcast clouds,20.4833,-97.0167,Hotel Plaza Marsol
Kavaratti,IN,81.46,overcast clouds,10.5669,72.642,Green leaf
Bathsheba,BB,81.21,broken clouds,13.2167,-59.5167,Atlantis Hotel
Morgan City,US,71.01,clear sky,29.6994,-91.2068,Hampton Inn & Suites Morgan City
Wanning,CN,81.99,clear sky,18.8003,110.3967,Paradise Hotel
Tabuk,PH,83.48,overcast clouds,17.4189,121.4443,Golden Berries Hotel and Convention
Nuevitas,CU,77.86,scattered clouds,21.5453,-77.2644,Hotel Caonaba
Nago,JP,84.45,scattered clouds,26.5881,127.9761,Hotel Yugaf Inn Okinawa
Takoradi,GH,74.93,broken clouds,4.8845,-1.7554,Raybow International Hotel
Cerritos,US,80.87,clear sky,33.8583,-118.0648,Sheraton Cerritos Hotel
Angoche,MZ,71.06,clear sky,-16.2325,39.9086,Guest House HESADA
Dezful,IR,85.24,clear sky,32.3811,48.4058,مهمانپذیر خوزستان
Fuerte Olimpo,PY,82.81,broken clouds,-21.0415,-57.8738,Hospedaje DAMI
Billings,US,73.17,scattered clouds,45.7833,-108.5007,Best Western Plus Clocktower Inn
Sao Joao Da Barra,BR,70.83,broken clouds,-21.6403,-41.0511,Pousada Porto De Canoas
Mana,GF,78.85,clear sky,5.6592,-53.7767,LE SAMANA
Hwange,ZW,72.7,clear sky,-18.3693,26.5019,Hwange Colliery Guest House
Nouadhibou,MR,82.38,broken clouds,20.931,-17.0347,El Medina
Santo Tomas,PH,87.57,broken clouds,14.1079,121.1414,Microtel by Wyndham Batangas
Tecoanapa,MX,79.75,clear sky,16.5167,-98.75,Hotel Manglares
Zhuhai,CN,89.85,scattered clouds,22.2769,113.5678,珠海粤财假日酒店
Tutoia,BR,78.71,clear sky,-2.7619,-42.2744,Pousada Guará's
Champerico,GT,80.98,overcast clouds,14.3,-91.9167,"Hotel y restaurante ""El Diamante"""
Jalu,LY,70.83,clear sky,29.0331,21.5482,صاحبة الفخامة
Sao Jose Da Coroa Grande,BR,75.78,clear sky,-8.8978,-35.1478,Crôa Mares Hotel
Victoria,HK,87.85,broken clouds,22.2855,114.1577,Mini Central
Lastoursville,GA,70.72,light rain,-0.8143,12.7287,Auberge Bon Coin 02
Tabou,CI,75.2,light rain,4.423,-7.3528,hotêl doufoulougou
Moerai,PF,72.36,scattered clouds,-22.4333,-151.3333,Le Manotel
Thanh Hoa,VN,81.57,overcast clouds,19.8,105.7667,KHÁCH SẠN NGỌC LY 8
Bougouni,ML,70.2,overcast clouds,11.417,-7.479,Non Stop
Natal,BR,79.02,broken clouds,-5.795,-35.2094,Villa Park Hotel | Natal
Kontagora,NG,72.84,light rain,10.3999,5.4695,Queens Guest Inn
La Peca,PE,72.41,light rain,-5.6111,-78.435,Hospedaje San Miguelito
Guerrero Negro,MX,70.59,clear sky,27.9769,-114.0611,"Casa Laguna, Bed & Breakfast"
Sorada,IN,76.86,overcast clouds,19.75,84.4333,PWD Guest House
Sinnamary,GF,78.57,clear sky,5.3833,-52.95,ALETHEIA Appartement Sinnamary
The Valley,AI,82.81,clear sky,18.217,-63.0578,CeBlue Villas & Beach Resort
Tukrah,LY,71.04,clear sky,32.5341,20.5791,Lagrota restaurant
Ormond Beach,US,73.02,clear sky,29.2858,-81.0559,Makai Beach Lodge
Pochutla,MX,74.66,few clouds,15.7432,-96.4661,Hotel Posada San Jose
Cam Ranh,VN,84.16,scattered clouds,11.9214,109.1591,OYO 598 Peony Hotel
